,PLAYER_ID,PLAYER,DFGM,DFGA,DFG%,OFG%,diff
0,101187,"Anderson, Alan",162.0,352.0,0.4602272727272727,0.445684272363157,-0.01454300036411571
1,202711,"Bogdanovic, Bojan",120.0,297.0,0.40404040404040403,0.4420880110937209,0.03804760705331689
3,203900,"Brown, Markel",19.0,45.0,0.4222222222222222,0.44111659825493427,0.018894376032712046
4,201152,"Young, Thaddeus",250.0,507.0,0.4930966469428008,0.46034152006651613,-0.03275512687628468
5,101114,"Williams, Deron",144.0,313.0,0.46006389776357826,0.4391174785698942,-0.020946419193684063
6,101127,"Jack, Jarrett",230.0,514.0,0.4474708171206226,0.441937504428296,-0.005533312692326597
7,203486,"Plumlee, Mason",248.0,478.0,0.5188284518828452,0.4811407884954183,-0.037687663387426906
8,202721,"Morris, Darius",24.0,48.0,0.5,0.4421309734211621,-0.05786902657883791
9,201961,"Ellington, Wayne",110.0,264.0,0.4166666666666667,0.4381946783207418,0.02152801165407514
10,202391,"Lin, Jeremy",200.0,425.0,0.47058823529411764,0.44583791275182527,-0.02475032254229237
12,201941,"Hill, Jordan",273.0,529.0,0.5160680529300568,0.4804212602451387,-0.03564679268491805
13,2584,"Green, Willie",67.0,169.0,0.39644970414201186,0.4389833141751382,0.042533610033126334
14,203935,"Smart, Marcus",127.0,279.0,0.4551971326164875,0.4378132819225117,-0.0173838506939758
15,203923,"Young, James",25.0,54.0,0.46296296296296297,0.43119965718880704,-0.031763305774155925
16,201973,"Jerebko, Jonas",118.0,267.0,0.4419475655430712,0.45977203002010547,0.017824464477034285
17,203109,"Crowder, Jae",127.0,279.0,0.4551971326164875,0.4519616961196869,-0.003235436496800581
18,202738,"Thomas, Isaiah",129.0,295.0,0.43728813559322033,0.4311655373293583,-0.0061225982638620224
19,201166,"Brooks, Aaron",130.0,290.0,0.4482758620689655,0.4437940080299051,-0.004481854039060429
20,2550,"Hinrich, Kirk",146.0,325.0,0.4492307692307692,0.4368395755394662,-0.012391193691303037
21,201959,"Gibson, Taj",185.0,421.0,0.43942992874109266,0.4698429674989254,0.030413038757832744
25,201149,"Noah, Joakim",248.0,587.0,0.42248722316865417,0.4731128686800502,0.050625645511396034
27,2734,"Harris, Devin",129.0,300.0,0.43,0.4380494056371821,0.008049405637182094
28,200826,"Barea, Jose Juan",98.0,224.0,0.4375,0.4361666052978951,-0.0013333947021049175
31,201571,"Augustin, D.J.",165.0,349.0,0.47277936962750716,0.4346190995686042,-0.03816027005890299
35,203083,"Drummond, Andre",284.0,580.0,0.4896551724137931,0.4857089425336156,-0.00394622988017751
38,101249,"Lucas III, John",6.0,16.0,0.375,0.4319020649064209,0.05690206490642091
39,203915,"Dinwiddie, Spencer",28.0,57.0,0.49122807017543857,0.43158618291546846,-0.059641887259970106
41,101139,"Miles, CJ",120.0,277.0,0.4332129963898917,0.44295095703054893,0.00973796064065724
42,201588,"Hill, George",60.0,143.0,0.4195804195804196,0.4421468028496334,0.02256638326921384
43,201228,"Watson, CJ",116.0,278.0,0.4172661870503597,0.4330733927993346,0.015807205748974873
46,203963,"Whittington, Shayne",14.0,27.0,0.5185185185185185,0.4542966409921799,-0.06422187752633857
48,2561,"West, David",165.0,353.0,0.46742209631728043,0.4587869189673013,-0.00863517734997915
50,203524,"Hill, Solomon",222.0,486.0,0.4567901234567901,0.4465865964382738,-0.01020352701851629
55,204025,"Frazier, Tim",13.0,36.0,0.3611111111111111,0.4360330828760411,0.07492197176492998
56,203457,"Noel, Nerlens",280.0,551.0,0.5081669691470054,0.47569036546861215,-0.03247660367839328
57,203924,"Grant, Jerami",96.0,238.0,0.40336134453781514,0.44341453788412855,0.04005319334631341
59,203960,"Sampson, JaKarr",100.0,222.0,0.45045045045045046,0.4456566170969183,-0.004793833353532173
62,201601,"Mbah a Moute, Luc",198.0,470.0,0.42127659574468085,0.46178889027068376,0.04051229452600291
67,202322,"Wall, John",201.0,469.0,0.42857142857142855,0.44157097548515317,0.012999546913724624
69,101162,"Gortat, Marcin",290.0,650.0,0.4461538461538462,0.4742585015317962,0.02810465537795004
70,202066,"Temple, Garrett",76.0,169.0,0.44970414201183434,0.426841479176717,-0.022862662835117342
71,1718,"Pierce, Paul",172.0,415.0,0.41445783132530123,0.4451143008310284,0.030656469505727146
74,2743,"Humphries, Kris",169.0,367.0,0.4604904632152589,0.4544618554394386,-0.0060286077758202605
85,2403,Nene,165.0,363.0,0.45454545454545453,0.4627933712012972,0.00824791665584268
90,201568,"Gallinari, Danilo",95.0,202.0,0.47029702970297027,0.4481466947813771,-0.022150334921593184
91,203994,"Nurkic, Jusuf",148.0,326.0,0.4539877300613497,0.47681460394447545,0.022826873883125764
92,201951,"Lawson, Ty",202.0,428.0,0.4719626168224299,0.44132653710356085,-0.030636079718869058
93,201581,"Hickson, JJ",183.0,368.0,0.49728260869565216,0.4648507224618882,-0.032431886233763974
97,2225,"Parker, Tony",131.0,277.0,0.4729241877256318,0.44473608332487763,-0.028188104400754144
99,201988,"Mills, Patty",39.0,108.0,0.3611111111111111,0.43236332919761655,0.07125221808650545
100,1495,"Duncan, Tim",268.0,581.0,0.4612736660929432,0.4798166858287618,0.018543019735818622
103,1938,"Ginobili, Manu",79.0,180.0,0.4388888888888889,0.4530957647560167,0.014206875867127822
108,204038,"Galloway, Langston",59.0,175.0,0.33714285714285713,0.43613752534333977,0.09899466820048264
109,200811,"Amundson, Lou",87.0,181.0,0.48066298342541436,0.47525292971691824,-0.005410053708496121
111,201160,"Smith, Jason",183.0,394.0,0.46446700507614214,0.4636918680252255,-0.0007751370509166411
117,202681,"Irving, Kyrie",228.0,527.0,0.43263757115749524,0.4430970818774884,0.010459510719993181
119,202684,"Thompson, Tristan",272.0,577.0,0.4714038128249567,0.46843986100741536,-0.0029639518175413326
120,2034,"Miller, Mike",66.0,145.0,0.45517241379310347,0.44866337816976143,-0.006509035623342041
121,203516,"Ennis, James",87.0,157.0,0.554140127388535,0.44418471564488876,-0.10995541174364626
122,2617,"Haslem, Udonis",88.0,170.0,0.5176470588235295,0.46564780019437735,-0.05199925862915211
123,2590,"Williams, Mo",180.0,366.0,0.4918032786885246,0.4436726020047602,-0.04813067668376436
132,203897,"LaVine, Zach",153.0,288.0,0.53125,0.441186397108277,-0.090063602891723
