,PLAYER_ID,PLAYER,FGM,FGA,total_games,FG%
0,203148,brian roberts,144.0,353.0,59.0,0.40793201133144474
373,202687,bismack biyombo,55.0,99.0,31.0,0.5555555555555556
486,2744,al jefferson,368.0,774.0,50.0,0.4754521963824289
1286,203469,cody zeller,151.0,335.0,58.0,0.4507462686567164
1641,202390,gary neal,163.0,436.0,49.0,0.3738532110091743
2100,201945,gerald henderson,234.0,542.0,57.0,0.4317343173431734
2663,202689,kemba walker,263.0,642.0,42.0,0.40965732087227413
3358,203077,michael kidd-gilchrist,171.0,360.0,43.0,0.475
3727,202362,lance stephenson,151.0,421.0,45.0,0.3586698337292161
4163,101107,marvin williams,134.0,307.0,55.0,0.4364820846905538
4481,101131,jason maxiell,53.0,123.0,37.0,0.43089430894308944
4610,202330,gordon hayward,370.0,815.0,60.0,0.4539877300613497
5478,202344,trevor booker,149.0,297.0,57.0,0.5016835016835017
5804,202683,enes kanter,300.0,600.0,55.0,0.5
6443,202324,derrick favors,352.0,645.0,56.0,0.5457364341085271
7120,203957,dante exum,92.0,270.0,59.0,0.34074074074074073
7405,204060,jon ingles,89.0,214.0,54.0,0.4158878504672897
7625,203504,trey burke,286.0,742.0,59.0,0.38544474393531
8408,203497,rudy gobert,135.0,216.0,57.0,0.625
8675,2430,carlos boozer,270.0,524.0,56.0,0.5152671755725191
9295,202391,jeremy lin,188.0,439.0,58.0,0.428246013667426
9810,977,kobe bryant,250.0,644.0,34.0,0.38819875776397517
10523,202334,ed davis,166.0,269.0,57.0,0.6171003717472119
10873,101179,ronnie price,68.0,190.0,41.0,0.35789473684210527
11096,201961,wayne ellington,157.0,362.0,50.0,0.43370165745856354
11534,202325,wesley johnson,172.0,406.0,54.0,0.4236453201970443
12006,201941,jordan hill,241.0,502.0,54.0,0.4800796812749004
12620,201156,nick young,147.0,388.0,39.0,0.3788659793814433
13093,203135,robert sacre,81.0,200.0,48.0,0.405
13335,203084,harrison barnes,218.0,443.0,58.0,0.49209932279909707
13798,2571,leandro barbosa,115.0,241.0,45.0,0.47717842323651455
14054,201939,stephen curry,458.0,929.0,58.0,0.4930032292787944
15022,202691,klay thompson,440.0,945.0,58.0,0.4656084656084656
15993,201578,marreese speights,228.0,452.0,54.0,0.504424778761062
16491,2733,shaun livingston,128.0,242.0,55.0,0.5289256198347108
16754,101106,andrew bogut,126.0,221.0,43.0,0.5701357466063348
16993,2738,andre iguodala,151.0,324.0,56.0,0.4660493827160494
17336,203110,draymond green,227.0,521.0,58.0,0.43570057581573896
17888,201143,al horford,364.0,660.0,55.0,0.5515151515151515
18603,200757,thabo sefolosha,76.0,178.0,42.0,0.42696629213483145
18806,203471,dennis schroder,182.0,424.0,56.0,0.42924528301886794
19259,200794,paul millsap,339.0,708.0,57.0,0.4788135593220339
20013,2594,kyle korver,217.0,449.0,57.0,0.48329621380846327
20491,203544,pero antic,72.0,200.0,43.0,0.36
20713,203145,kent bazemore,84.0,189.0,45.0,0.4444444444444444
20916,203118,mike scott,147.0,332.0,56.0,0.4427710843373494
21283,201952,jeff teague,298.0,639.0,53.0,0.46635367762128327
21970,201960,demarre carroll,200.0,430.0,50.0,0.46511627906976744
22432,101162,marcin gortat,293.0,529.0,60.0,0.553875236294896
23002,203490,otto porter,124.0,264.0,54.0,0.4696969696969697
23286,2743,kris humphries,175.0,369.0,55.0,0.4742547425474255
23683,203078,bradley beal,224.0,545.0,43.0,0.41100917431192663
24267,1889,andre miller,88.0,159.0,49.0,0.5534591194968553
24440,202066,garrett temple,58.0,148.0,32.0,0.3918918918918919
24598,202338,kevin seraphin,164.0,320.0,57.0,0.5125
24934,1718,paul pierce,225.0,498.0,55.0,0.45180722891566266
25461,2446,rasual butler,170.0,383.0,53.0,0.44386422976501305
25868,2403,nene hilario,240.0,457.0,52.0,0.5251641137855579
26347,202322,john wall,360.0,784.0,60.0,0.45918367346938777
27221,201600,omer asik,141.0,272.0,57.0,0.5183823529411765
27521,201950,jrue holiday,214.0,486.0,37.0,0.4403292181069959
28029,201583,ryan anderson,242.0,595.0,52.0,0.40672268907563025
28680,201936,tyreke evans,374.0,854.0,60.0,0.4379391100702576
29594,202337,luke babbitt,69.0,146.0,41.0,0.4726027397260274
29750,203076,anthony davis,418.0,769.0,49.0,0.5435630689206762
